-60,2661,0.75227
-40,2661,0.75227
-20,2613,0.68916
0,2647,0.64587
20,2323,0.48859
40,2164,0.49477
60,2044,0.26135
80,1966,0.23505
100,1905,0.21095
120,1820,0.30611
140,1788,0.28433
160,1719,0.3219
180,1745,0.30332
200,1627,0.24839
